source,target
"But instead of going to the restaurant and paying a huge bill, I got the recipe from the chef. I use it for special occasions. He's not allowed to eat meat.",بس بدل ما نفضل بقا رايحين جايين على المطعم، وندفع دم قلبنا، لأ، أنا جبت الوصفة من الشيف وبعملها لهم بس في المناسبات بس عشان اللحمة مش كويسة عشانه
"It's made of garlic, soy sauce, olive oil,  of course, orange juice, and one secret ingredient",بتاخد توم وصويا وبتاخد زيت زيتون طبعا وعصير برتقان وفي كمان حاجة بس مش هقول عليا
"Of course, you're a full-time mom and housewife. Everything should be homemade.",طبعا ما أنتي مدية وقتك كله للبيت والولاد فلازم كل حاجة تبقى home made
Even Nadia's medication was homemade.,ده أنتي يا شيخة الدوا بتاع نادية كنتي عملاه home made
True.,صح
It's the calm before the storm.,دي بقى مرحلة استهلال ما قبل الخازوق
Do you think she'll stop there?,تفتكروا هتسيب الجملة مديح خالص كده
But today's homemade is just garlic and orange juice.,لكن واضح إن الhome made بتاع دلوقتي بقى توم وعصير برتقان
Where's your ambition?,فين طموحك يا علا؟
"Soha, Hisham's cousin",سها بنت خالة هشام
"Her hobby is to pick on people, especially me.",هوايتها المفضلة التقطيم في خلق الله، خصوصا أنا
"It's okay, Soha. You can't have it all. ",معلش يا سها، محدش بياخد كل حاجة.
You chose a career; I chose my family and have no regrets.,أنت اختارتي الكاريير وأنا أخترت البيت. وحقيقي حقيقي مش ندمانة
Not working after giving birth helped me know my children better.,أصل أنا لو كنت اشتغلت بعد الخلفة إزاي كنت هعرف عيالي كويس أوي كده؟
"Here, baby",اتفضلي يا حبيبتي
Yes?,نعم؟
Mom!,مامي
I've been vegan for two years. ,أنا vegan بقالي سنتين 
Ouch!,أوف
I know. ,طب ما أنا عارفة
It's for your brother.,أنا عارفة يا حبيبتي
Take it to Salim!,لسليم، وديهوله
Give it to him!,وديهوله
They're well-mannered.,ولا كانوا حيبقوا بالتربية دي
This level is mine!,الlevel ده بتاعي
I'll smash you.,ده أنا هفلقك
"Honey, it doesn't matter if you have a career or not. ",حبيبتي في كاريير مافيش كاريير. 
You must take care of your family.,المهم تاخدي بالك من بيتك وجوزك
"He just turned 45, and he had a heart attack.",ما هو مش معقول يكون مكملش 45 سنةـ، وتجيله سكتة قلبية.
But who saved him?,بس مين اللي لحقه؟
Imagine he had a heart attack while she was at work.,تصوري بقى لو كانت جاتله السكتة وهي في الشغل؟
Grilled meat?,حواوشي؟
Watch your head.,حاسب دماغك
Here's the key.,يالا المفتاح أهو.
Take out all the stuff.,شيلوا انتو بس الحاجات.
And you take that. ,شيل أنت دي.
Good.,أيوة، وأنتي شيلي ده. بس
Brush your teeth and no phones.,نغسل سنانا ومافيش لعب في التليفونات
Let me help you.,لا استنى بقا أشيل معاك
Your mom thinks I gave you a heart attack.,مش كفاية إن مامتك فاكرة إن أنا اللي جيبت لك الأزمة القلبية؟
Be tolerant. ,معلش استحمليها شوية.
My surgery was too much for her. ,هي بعد موضوع العملية ده مش مستحملة.
Leave these for another time. ,سيبوا دول هخدهم بعدين.
Oh yeah?,مش مستحملة؟
You mean I'm insensitive?,ده على أساس إن أنا جبلة يعني؟
I didn't say that.,أنا ماقولتش كده يا علا.
How come you had a heart attack while I was taking good care of you?,أنا أصلا نفسي أفهم أنت ليه ليه يجيلك أزمة قلبية وأنا مظبطالك كل حاجة؟
You eat and sleep well. ,نومك وأكلك وكل حاجة مافيش توتر
Do you hear yourself?,أنتي سامعة نفسك بتقولي إيه؟
Are you blaming me?,أنتي بجد بتلومي عليا؟
"I'm not, but I'm terrified. ",لا أنا مش بلوم عليك. بس أنا كمان مرعوبة على فكرة.
You're always scared.,أنتي طول عمرك مرعوبة يا علا
She doesn't know what will happen to me if you die.,هي مش فاهمة أنا ممكن يجرى لي إيه لو أنت جرالك حاجة
It's not always about you.,الكون مابيلفش حواليكي
I know it's not. ,ما أنا عارفة إن الكون مبيلفش حواليا على فكرة.
I know that.,أنا عارفة كويس أوي
"Otherwise, your mom would've answered differently. ",لو كان بيلف حواليا هي مامتك كان ممكن ترد عليا كدا؟
Everything I do is to please her.,مع إني بأعمل كل حاجة عشان أرضيها. كل حاجة.
And you let her blame me for it. ,وفي الآخر تقولي إن أنا السبب وأنت تسكت
It's too much.,لا كدا كتير أوي
You haven't stopped talking about my mom since we left her house.,أنا والله العظيم ما مصدق نفسي أنك قاعدة تتكلمي عن أمي من ساعة ما مشينا من هناك لغاية دلوقتي
Because I can't make her love me.,ما علشان مش عارفة أعملها إيه تاني علشان تحبني
Ola!,يا علا
Yes?,إيه؟
I can't do this.,أنا مش قادر أكمل.
The meat will rot. ,لا في لحمة هنا هتعفن.
I'll take it.,أنا هشيلها لو أنت مش قادر
Forget the meat. ,لحمة إيه اللي بتتكلمي عنها؟
I can't do this.,أنا مش قادر أكمل
I want a divorce.,أنا عايز نتطلق
They're asleep.,خلاص ناموا
I told them I'd be away for a while.,أنا قولت لهم إن أنا هسافر شوية
We'll tell them together in a few days. ,كلها كام يوم كده إن شاء الله ونقولهم مع بعض
Won't you say anything?,هو أنت مش عايزة تقولي حاجة؟
"Why, Hisham?",ليه يا هشام؟
What did I do?,أنا عملت إيه؟
Tell me.,فهمني بس.
You did nothing.,أنت ماعملتيش حاجة
"So why, why?",طب نبعد ليه؟
What is it?,ليه؟ في إيه؟
Stay ,خليك طيب.
"Stay, and I'll do whatever you want.",خليك وأنا هأعمل اللي أنت عايزه. 
I'll change. ,أنا هتغير
I won't criticize your mom again.,أنا مش هقول حاجة وحشة تانية عن مامتك.
I promise you I won't ,أنا أوعدك إن أنا مش هضايق
"Ola, I'm not happy.",يا علا، أنا مش مبسوط
Not happy?,مش مبسوط؟
And who's happy?,مين فينا مبسوط؟
Why bother with existential questions?,ليه نسأل نفسنا الأسئلة الوجودية دي؟
Who's happy?,مين فينا مبسوط؟
When did you ever see someone happy?,امتى أنت آخر مرة شوفت فيها حد مبسوط؟
I was,أنا
And you were once.,وأنت زمان لو فاكرة.
I don't remember.,لا مش فاكرة
All I can remember is marrying you and starting a family.,أنا كل اللي أنا فاكراه إن احنا اتجوزنا وعملنا عيلة.
You know what a family is?,عيلة. فاكر أنت يعني إيه عيلة؟
This is a chair. ,يعني ده كرسي
This is a lamp.,ودي أباجورة 
"And this, this is a family.",ودي دي عيلة
I had a heart attack at the age of 45,يا علا أنا جالي heart attack وأنا عندي 45 سنة
I can't go on like this. ,مش هينفع أكمل كده
I need to change my life.,لازم أغير حاجة في حياتي
So you change me?,والحاجة اللي لازم تتغير دي هي أنا؟
You said nothing today because you agreed with your mom,يعني أنت ماقولتش حاجة النهاردة علشان أنت رأيك من رأي أمك
"I gave you a heart attack, Hisham?",أنا اللي جيبت لك الأزمة القلبية يا هشام؟
Give me those.,طب هات بقى دول
"They'll stay, and you're not sleeping here.",أنت مش واخد حاجة من هنا
Go to your mom's and break the news to her.,اتفضل بقا روح فرحها بالخبر العظيم ده
"Get out, Hisham.",اطلع برة يا هشام
Wait.,استنى
You forgot the papers for the bike you hid under your boxers. ,نسيت عقد الموتوسيكل اللي كنت مخبيه تحت كلوتاتك
Smartass!,يا ناصح
I hope you'll be happy riding it. ,يارب بقا تلاقي السعادة وأنت راكبه
"Mom, are you still asleep?",مامي، أنتي لسه نايمة؟
When is Dad coming back?,مامي، هو بابي راجع امتى؟
I don't know. ,مش عارفة
Close the door. ,أقفل الباب
"Mom, we're late for school.",مامي احنا متأخرين ع المدرسة
Coming,حاضر
"Not now, Mother. ",مش قادرة يا ماما
I can't.,مش قادرة
Look at you with that happy face.,ياختي عليكي وأنت فاشخة ضبك كده
He doesn't look as happy.,بصي بقا هو شكله مش مبسوط زيك
You're not happy. ,مش مبسوطة
He knew.,هو كان عارف
The morning antidepressant pill. ,حباية مقاومة الاكتئاب الصباحية
That's what happened.,بس زي ما بقول لحضرتك كدا
"We argued, and things went bad.",كلمة منه على كلمة مني الموضوع كبر
"Every marriage has problems, but he's been away for a week.",اه، ما انا عارفة إن مافيش بيت بيخلى من المشاكل دي بس يعني الموضوع طول، بقالنا أسبوع
I don't know.,مش عارفة
What should we do?,نتصرف إزاي بقا يا طنط؟
We?,نتصرف؟
It's not my place to interfere.,أنا مقدرش اتدخل في حاجة زي دي
Now she can't?,دلوقتي مقدرش؟
"I get it, but the kids are asking questions.",اه، لأ، مفهوم بس الولاد ابتدوا ياخدوا بالهم
What do I tell them?,أنا مش عارفة أقولهم إيه
"Hisham's a man; he needs some rest, and I can't push him now.",هشام راجل يا علا ومن حقه أنه يرتاح وأنا مقدرش أضغط عليه
What a hag!,قادرة
"Fine, Auntie",طيب، طيب يا طنط
Let's hope he survives the bike that makes him feel young and doesn't end up dead like his cousin Khalid.,ربنا بقا يكفيه شر الموتوسيكل اللي عايش مراهقته معاه ده. وربنا يستر مايحصلوش زي خالد ابن عمه الله يرحمه ويحسن إليه 
"Yes, remember him?",اه والله، فاكرة؟
Do you remember that horrific accident?,فاكرة الموتوسيكل اتساوى بالأسفلت إزاي؟
Give me a couple of days.,طب سيبيني كام يوم أشوف الموضوع ده 
"Okay, Auntie.",طب خلاص يا طنط. خلاص
"I'll call you later, okay?",أنا هأكلمك
"I miss you, by the way.",وحشتيني على فكرة
"Bye, Auntie.",باي باي يا طنط. باي
"Mom, the connection is lost.",مامي النت فصل
I know that. ,ما أنا عارفة إن النت فصل
Dad didn't recharge the card.,ما هو بابي نسي يشحن الكرت
What card?,كارت، كارت إيه؟
"Yes, the card. ",اه، الكارت. 
I'll just put the eggs.,هحط البيض بس
Ask Dad to recharge it. I'm about to finish the level.,طب كلمي بابا إسأليه علشان أنا قربت اخلص الlevel
His phone is off.,تليفونه مقفول يا ابني
I'll find it. ,أنا هلاقيه
Leave your dad out of it. ,نشغل بابي بالتفاصيل الصغيرة دي ليه؟
Here it is.,أهو أهو
See?,شوفتي؟
"Come on, we're late for school.",يالا بينا اتأخرنا ع المدرسة
Good morning. ,صباح الخير
"Good morning, Zeina. ",صباح النور يا زينة
Good morning.,صباح النور
Nadia has your sandwiches.,سندوتشاتك مع نادية، ها؟
"Last time, the bread was burnt.",المرتين اللي فاتوا العيش كان محروق. خلي بالك. 
Really?,والله؟
Then why did you eat Salim's sandwiches?,ولما هو كان محروق كلتي بتوع سليم ليه؟
To be sure. ,أتأكد بنفسي
Mom!,مامي؟
Yes?,نعم
You forgot them.,أنت نسيتي تحطيهم
Really?,بجد؟
And I was complaining before. ,ومكنش عاجبني المحروق. 
Now we have nothing.,فينه دلوقتي؟
One second. ,ثانية واحدة
No junk food or chips.,مش عايزين رمرمة. شيبسي لأ
What am I supposed to do?,أعمل إيه؟
Bye. Bye. ,يالا باي، باي
Mrs. Ola.,مدام علا
Mrs. Kamilia,مدام كاميليا
"Officially, she's the head of student affairs. ",الوظيفة على الورق مسؤولة شؤون الطلبة
But her actual job is bullying the parents. ,الوظيفة الحقيقية تربية أولياء أمور الطلبة
I tried calling you. ,حاولت أكلمك أكتر من مرة. 
You didn't answer.,مبتروديش
We need to talk about the issue. ,محتاجين نتكلم في موضوع مهم
What issue?,موضوع إيه؟
There's no issue. ,مفيش موضوع
Who even told you?,ومين قال لحضرتك على الموضوع؟
It's temporary. ,الموضوع مؤقت أصلا
The issue is temporary. ,لو موضوع يبقى الموضوع مؤقت
I'm sure it is.,طبعا مؤقت
You're in a hurry. ,اه واضح انك مستعجلة
I am.,اه جدا
We'll talk at Parents' Day next week.,نتكلم أكتر في الparent's day الأسبوع الجاي؟
Parents' Day? Next week?,اه طبعا نتكلم في الparent's day؟ الأسبوع الجاي؟
I'll be there. ,طبعا، أنا جاهزة
I'll be waiting. ,في انتظارك
Okay.,اوكي
Ola. Ola. ,علا، يا علا.
What is it?,في إيه يا حجة؟
"Is nobody home, Saleh?",هو مافيش حد جوة ولا إيه يا عم صالح؟
The doorbell isn't working.,الجرس بايظ ليه؟
Dr. Hisham's missus is inside. The power was off. ,لا مدام الدكتور هشام جوا، بس هو النور كان قاطع
She sent me to recharge the card. ,ده حتى بعتتني يا حجة اشحن لها بالكارت أهو
Okay.,طب كويس
Here. ,اتفضلي
Ola.,يا علا
"Yes, coming.",ايوة، أيوة
"How are you, Mom?", إزيك يا ماما؟
I was sleeping. ,معلش كنت نايمة
Are you pregnant?,أنت حامل؟
"Congratulations, Dr. Hisham's missus",مبروك يا مدام الدكتور هشام، مبروك
"I'm not pregnant, Mom.",حامل إيه بس يا ماما.
You must be if you're constantly sleeping. ,أكيد حامل. كل ما أكلمك تقولي لي نايمة
The house is a mess. ,وسايبة البيت مبهدل 
You're eating the kids' food.,وبتاكل أكل العيال
And you can't stand your husband.,وشكلك كده مش طايقة جوزك
That's my girl. Thank God.,أهو كده، الحمد الله
I kept asking you for a third child. ,ده أنا لساني دلدل
You wouldn't listen. ,هاتي التالت، هاتي التالت، وأنتي أبدا
This one will seal the deal while you're still young.,أيوة دي بقى الهاتريك اللي حيخلص وأنتي في عز شبابك
"Congratulations, sweetheart.",ألف مبروك يا روح ماما
I'm not pregnant. ,مش حامل
You're not?,مش حامل؟
"What is it, then?",أمال تبقي إيه؟
A divorce,ابقى بتطلق
It's a nightmare.,ده كابوس
A nightmare! Oh God!,كابوس، أه يا دماغي
You're kidding.,أنت بتهزري
Should I get you some sugar water?,طب أجيب لك مية بسكر؟
Are you serious?,أنتي بجد اتطلقتي؟ 
"Why, Ola?",ليه يا علا؟ ليه؟
What did you do to that wonderful guy that made him leave you?,عملتي ايه علشان هشام السكرة اللي ميتعيبش ده يسيبك؟
What have you done?,عملتي ايه؟
Spill it.,ما تنطقي عملتي ايه؟
"Nothing, believe me, Mom.",أنا معملتش حاجة يا ماما خالص.
"Suddenly, he told me he was unhappy.",ده هو اللي جالي فجأة وقالي مش مبسوط
Unhappy! ,مش مبسوط. 
How come he's unhappy?,يعني إيه مش مبسوط؟
"You tell me, how come?",طب فهميني أنت يعني ايه؟
Was he lying to me all these years?,يعني كل السنين اللي فاتت دي بيمثل عليا؟
I don't get it. ,أنا مش فاهمة
It's not official yet.,بس محصلش حاجة رسمي
"It's temporary, right, Mom?",الموضوع مؤقت. صح يا ماما؟ صح؟
He'll regret it.,اه، هيندم
He'll come back. You'll see.,هيندم وهيرجع وهتشوفي.
Where will he find someone like me?,أصله هيلاقي زيي فين؟
"Everywhere, silly.",في كل حتة يا هبلة.
They're literally everywhere.,دول مرطرطين ع الأرصفة. 
Temporary?,مؤقت؟
I don't care if it's temporary or whatever you're saying. ,على فكرة، أنا مش فارق معايا خالص أنه مؤقت ولا كل اللي بتقوليه ده
I just want to know why my daughter is getting a divorce.,أنا كل اللي فارق معايا، أنا بنتي تطلق ليه؟ ليه؟
Why do I have to go through that?,ليه؟ ليه أنا بيحصلي كل ده؟ ليه؟
No idea. ,مش عارفة.
"I'm sorry, Mom.",أنا أسفة يا ماما.
I looked at your dim face and wondered what was happening.,وأنا أقول البت مالها، وشها مطفي ليه؟
It's the face of a divorced woman. ,هي دي سحنة المطلقات.
You've turned into one very fast. ,لحقتي يا علا؟ لحقتي تقلبي؟
It's my bad luck. ,أعمل إيه في بختي الأسود ده؟
What can I do?,أعمل إيه؟
What a calamity!,يا غلبي ياني
"My daughter, the wife of Dr. Hisham, is single again.",بنتي أنا، مدام الدكتور هشام، خلاص، بقت مدام بس حاف
What will I tell your brother in Dubai?,طب هقول إيه لأخوكي في دبي؟
Or to your aunt Shukreyya?,هقول إيه لطنطك شكرية؟
"Listen, Ola!",بصي يا علا
Don't be scared. ,ماتخفيش يا ماما
It's okay. ,ماتخافيش يا حبيتي
Listen to your mom.,اسمعي كلام أمك
You can't live like that.,مش هينفع تعيشي كده؟
"Why not, Mom?",ليه يا ماما؟ 
I lack nothing. ,ناقصة إيد ولا ناقصة رجل؟
You lack a man. ,ناقصة راجل يا ماما. 
But you're living your life without a man. ,طب ما أنتي عايشة أهو من غير راجل عادي جدا
Do you call this a life?,فين العيشة دي؟
"Listen, Ola. ",بصي يا علا. 
Don't say a word. ,أنا مش عايزة أسمع صوتك.
I want you to calm down and bring him to me.,أنا عايزاكي يا حبيبتي كده بهدوء وفي صمت روحي جيبهولي وتعالي
How do I get him?,أجيبهولك منين؟ 
He doesn't want to.,بقولك هو مش عايز
It's not my fault.,مش ذنبي
Whose fault is it? Mine?,أومال ذنبي أنا؟
Only the wife drives her husband away. ,يا بنتي، هو مين اللي بيطفش الراجل من البيت؟ ما هي الست
"Do something, Ola.",اتصرفي يا علا.
You have to get him back.,اتلحلحي زي الستات وشوفي هترجعيه إزاي
What a disaster. ,ده إيه الخيبة دي؟
Listen to me. You have to think calmly. ,طب بقولك إيه يا حبيبتي، فكري كده بالراحة. 
Do you have something against him so that we can threaten him?,فكري كده، أنتي مش ماسكة عليه ذلة؟ مش ممضياه مثلا على وصل أمانة نهدده بيه؟
You have to do something.,مش عارفة تعملي إيه. 
"Use the kids, house expenses, anything.",اضغطي عليه بالعيال، بالمصاريف، بأي حاجة
Do you really want to die alone?,أنتي عايزة تفضلي عايشة هنا لما تموتي لوحدك؟
Or will you marry another who might harass your daughter?,ولا هتتجوزي وتجيبي راجل غريب يتحرش ببنتك؟
What do you want?,عايزة إيه؟
I want to go.,عايزة أمشي
Go?,تمشي؟
I must.,لازم، لازم أمشي دلوقتي.
I have to pay some bills. ,أصل لسه شوية فواتير لازم أدفعها
Then I'll pick up the kids from school.,وبعد كده معاد الولاد والمدرسة
I'll pack some clothes and come live with you.,وأنا كمان هأروح عشان أجيب هدومي وأفضل قاعدة هنا معاكي.
Until I find a solution.,لغاية ما أشوف حل في المصيبة دي.
I don't know what to do. ,أنا مش عارفة أعمل ايه والله.
I really don't.,مش عارفة أعمل إيه.
Like it?,حلوة؟
Hey. Why buy junk food?,الله، إيه لازمته بقا الأكل اللي من برا؟
I prepared a meal for you.,ما أنا واقفة وعملتلكوا أكل حلو أهو.
I told you many times. I don't eat that food.,يا تيتة، ميت مرة قولت لك مابكلش اللي أسمه إيه ده.
"It's called mombar, dear.",اسمه ممبار يا حبيبتي.
"Mom, let them eat what they want. ",ماما، سيبيهم يكلوا براحتهم.
God bless my grandson. ,ربنا يخليهولي حفيدي حبيبي
He's like your dad; may he rest in peace. ,طالع زي باباكي الله يرحمه
He loved Mombar. ,كان يموت في الممبار
He could eat 10 kilograms in one go.,كان ممكن ياكل عشرة كيلو لوحده يا حبيبي والله
When is Dad coming?,هو بابا جاي امتى؟
"Sweetie, don't talk with your mouth full. ",حبيبي، ماتتكلمش وبقك فيه أكل. 
It's inappropriate. ,عيب.
"Look, Zeina.",بأقولك إيه يا زينة
I'm sorry. I had to pack up your stuff that was in Nadia's room. I'll sleep there.,معلش حبيبتي أنا شيلت حاجتك اللي كانت على السرير في أوضة نادية علشان أنا هنام عليه.
I can't sleep next to your Aunt Ola. ,مش بأعرف أنام جنب طنطك علا خالص
She snores a lot. ,بتشخر جامد أوي
"Hey, isn't your dad picking you up today?",ولا باين أنا سمعت، مش باباكي جاي ياخدك النهاردة باين؟
"No, he's not. ",لا بابي مش هيجي النهاردة.
He's in surgery all night.,هو عنده عمليات طول الليل.
But I can share Nadia's bed.,بس عادي هنام جنب نادية، صح؟
"Grandma, sleep next to Salim.",تيتة، ما تنامي جنب سليم.
He's the man of the house. ,هو راجل البيت. 
He needs his privcy.,محتاج خصوصية.
Do you want some hot Mombar?,في ممبار سخن يا حبيبي. 
"No, thanks. ",لا شكرا
I'm going to the bathroom.,طيب أروح أنا الحمام بس.
"Just tell her, ""yes.""",ما تقوليلها حاضر وخلاص ريحيها.
"She's old, and that makes her happy.",هي الناس الكبيرة كده، عايزة اللي يريحها.
Saying yes makes her happy.,وكلمة حاضر بتريح
But you said you regretted doing that.,اه، بس أنت قولتي لي إن دي غلطتك معاها.
And that I shouldn't do that. ,وإن أنا ماعملش زيك
"And I should argue with you or anyone if I don't like something, right?",وقولتي لي إن أتلامض معاكي ومع أي حد في حاجة مش عجباني، صح؟
I did say that. ,أنا قولت كده فعلا.
I never said that. ,أنا عمري ما قولت كده
"Okay, what do you want?",أيوة يعني أنت عايزة إيه دلوقتي؟
Where's Dad?,فين بابي؟
Huh?,ها؟
He's traveling. ,بابي مسافر.
What else?,وإيه كمان؟
Nothing. ,إيه كمان إيه؟ 
He's traveling. ,مسافر.
"Mom, I'm not a kid anymore. ",مامي، أنا مش صغيرة.
What does that mean?,مسافر يعني إيه؟
Fighting or separated or divorced or consciously uncoupling?,بتاعت متخانقين ولا separated ولا divorced ولا consciously uncoupling؟
What? ,إيه؟
I'm not familiar with the last kind of trip.,لا هي أخر واحدة، أنا آخر سفرية دي أنا مش عارفاها
Conscious what?,conscious إيه؟
"Uncoupling, Mom.",uncoupling يا مامي
A conscious separation.,يعني انفصال بوعي
Like most of the kids' parents are at school.,وبعدين عادي احنا معظم المدرسة عندنا كده
Most of them are consciously uncoupling?,انتم معظم المدرسة عندكم منفصلة بوعي؟
Okay. ,طيب.
"I'm not sure if it's conscious or unconscious, but your dad wants a divorce.",هو أنا مش عارفة إذا كان بوعي ولا لأ بس بابي عايزنا ننفصل.
I'm sorry. ,بصي، أنا آسفة بجد.
I didn't want you to find out like this. ,أنا مكنتش عايزاكي تعرفي كده
I asked him to tell you guys.,وقولت له تعالى نقول للولاد.
"He told me to wait and, well, you know his psychiatry methods. ",قالي لأ استني ومش استني وجو علم النفس بتاعه ده.
I'm sorry. ,أنا آسفة.
It's okay to be sad.,أنت ليكي حق تزعلي.
Nothing will change for you guys.,مفيش حاجة هتتغير بالنسبة لكم.
Everything will change. ,كل حاجة هتتغير.
An extra dose for today.,اليوم ده محتاج جرعة زيادة.
Right?,صح؟
"I think so, too.",أنا بقول كده
Yes,أيوة.
"Good morning, dear.",صباح الخير يا حبيبتي
Good morning.,صباح النور يا ماما.
Take this. ,خدي يا ماما.
I have to drink my coffee first. ,لا، أنا لسه مشربتش قهوتي.
Even better! Water will quench your thirst and fix all your problems.,أحسن، دي مش بس هترويكي، دي كمان هتصلح لك الأحوال.
Sheikh Himida has blessed it with his prayers. ,الشيخ حميدة نفسه قرالك عليها المعوذتين وسورة يس كاملة.
What? ,إيه؟ 
Sheikh Himida?,الشيخ حميدة؟
Why?,ليه؟
To protect you from the evil eye. ,عشان لو معمول لك عمل، حسد، نظرة، حاجة كده يعني.
To set you straight.,تروق لك الحال.
Drink it. ,خدي يا حبيبتي، خدي.
"Enough, Mom.",بس يا ماما. 
"Stop it, please.",بس يا ماما. 
Listen to me. ,يا بنتي اسمعي الكلام.
Enough.,بس يا حبيبتي.
Why? ,ليه بس؟
Just drink it.,اسمعي الكلام.
"Stop it, dear.",بس يا حبيبتي.
Take it easy.,يا بنتي على مهلك
I have a very long day.,ورايا يوم ما يعلم بيه إلا ربنا
It'll be great. ,إن شاء الله هيبقى زي الفل.
Just one sip to please me.,خدي بق، عشان خاطري.
You know? ,تصدقي؟ 
Why not!,يمكن.
Yes. There you go. ,أيوه، الحمد الله.
Drive safe.,سوقي على مهلك.
Hi,هاي
Thirsty?,عطشان؟
"No, thank you. ",لا، شكرا. 
Let's go.,اتفضلي.
"Okay, let him wait a bit. ",أوكيه، خليه يستنى شوية بس
I'm in a meeting.,عندي اجتماع دلوقتي.
Sure you're not thirsty?,مش عطشان؟ أكيد؟
"No, thanks.",لا شكرا
I'll call him back.,أوكيه، هكلمه تاني.
I tried reaching you recently.,أنا طبعا حاولت أوصلكم الفترة الأخيرة
But you were too busy to watch your son.,لكن واضح أن أنتم مشغولين جدا عن ابنكم
I can't find a definite diagnosis because I'm not a specialist.,طبعا أنا مقدرش أجزم بالتشخيص لأني مش متخصصة
All kids play video games. ,كل الأولاد بتلعب جيمز طبيعي.
You have to kill everyone to win.,لازم تقتل كله علشان تكسب.
"But when the kid becomes totally detached, we have a problem",بس لما نلاقي الطفل بقا منفصل تماما عن المجتمع، هنا في مشكلة.
If you don't handle Selim,سليم لو مالحقنهوش
Salim,سليم
"Salim. If you don't handle him, he'll threaten society, the mini-society of our school.",سليم لو مالحقناهوش حيبقى خطر جدا على المجتمع، المصغر بتاع المدرسة طبعا.
Yes?,أيوه؟
It's not a big deal.,مجراش حاجة يعني.
Why is he being so pushy?,إيه الإلحاح ده؟
How many pills have you taken?,علا، الحباية الكام دي؟
